Street Name	Record Count	Years	Amendment	Notes
Carlisle Place	1121	1876; 1886; 1887; 1890; 1893; 1894; 1898; 1899; 1902; 1903; 1905; 1910; 1927; 1933; 1936; 1938; 1946		
Carlisle Road	32	1971	Carlisle Road	
Carlisle Street	245	1886; 1894; 1897; 1898; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Carlisle-st. to Alexandra-Road	29	1910		
Carlton Chambers	3	1905; 1938; 1946		
Carlton Road	188	1933; 1936; 1938; 1946; 1950		
Carngethin Wharf	1	1933		
Caroline Street	483	1878; 1886; 1893; 1894; 1898; 1903; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Carpenter's Arms Lane	2	1886		
Carpenters' A. Lane	14	1898; 1903		
Carpenters' Arms	2	1971		
Cartwright Green	14	1950		
Cartwright Grn	28	1971		
Carysfort Street	1	1946		
Castle Chambers	1	1933		
Castle Park Road	17	1971	Castle Park Road	
Castle Precincts	67	1876; 1878; 1886; 1893; 1894; 1897; 1898; 1905; 1910; 1914; 1933		
Castle Street	410	1876; 1878; 1893; 1894; 1897; 1898; 1902; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950		
Caston Place	5	1902		
Catalpa Close	17	1971	Catalpa Close	
Catsach Road	8	1971		
Cattle Market	393	1890; 1893; 1894; 1899; 1902; 1910		
Caxton Place	117	1876; 1878; 1893; 1894; 1897; 1898; 1899; 1903; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Caxton Street	47	1878	Caxton Street	
Cecil Sharp Road	22	1971	Cecil Sharp Road	
Cedar Road	342	1897; 1898; 1899; 1902; 1903; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Cemetery Lane	44	1894; 1898; 1899; 1902; 1903; 1927		
Cenfed Street	6	1927		
Cenfedd Street	64	1910; 1914; 1933; 1936; 1938; 1946; 1950		
Century Institute	39	1927	Century Institute	
Chadwick Close	21	1950; 1971		
Charles Street	712	1876; 1878; 1886; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Charlotte Street	288	1876; 1878; 1897; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Charnwood Road	51	1927; 1933; 1938; 1946; 1950; 1971		
Chartist Tower	5	1971		
Chaucer Road	79	1933; 1938; 1946; 1950; 1971		
Chelmer Walk	9	1971	Chelmer Walk	
Chelston Place	111	1897; 1902; 1905; 1914; 1927; 1933; 1938; 1946; 1950		
Chepstow road	4268	1876; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1938; 1946; 1950; 1971		
Chepstow-road	28	1910		
Chepstown Road	170	1899		
Cherry Tree Close	9	1971	Cherry Tree Close	
Cherwell Walk	29	1971	Cherwell Walk	
Chesterfield Street	61	1903		
Chestnut Avenue	334	1933; 1936; 1938; 1946; 1950; 1971		
Chopstow Road	23	1878		
Christchurch Cemetery	2	1910		
Christchurch Hill	30	1971	Christchurch Hill	
Christchurch Road	2124	1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Christchurch-road	131	1910		
Church Farm Close	1	1971		
Church Of St. Mary The Virgin	26	1910		
Church Path	4	1897		
Church Road	1576	1878; 1894; 1897; 1902; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Church Street	361	1876; 1878; 1897; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Church Terrace	49	1887; 1890; 1893		
Church-road	43	1910		
Citizens’ Advice	16	1971		Investigate
Civic Centre	24	1971	Civic Centre	
Claremont Terrace	4	1933		
Clarence Place	1106	1878; 1893; 1894; 1897; 1898; 1899; 1902; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clarence Place Post Office.o..b. & A. & I. Office	11	1910		
Clarence Street	514	1876; 1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clarence-place	12	1910		
Clayton Street	181	1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clededon Road	14	1927		
Clevedon Road	276	1914; 1933; 1936; 1938; 1946; 1950; 1971		
Clevedon Terrace	111	1902; 1903; 1927	Clevedon Terrace	
Cliffard Crescent	35	1902		
Clifford Crescent	2	1876		
Clifton Place	478	1876; 1878; 1886; 1893; 1894; 1897; 1898; 1902; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clifton Road	193	1876; 1878; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clifton road Nursery	21	1898; 1902; 1903		
Clifton Terrace	27	1876; 1886; 1890; 1893; 1902		
Clist Walk	5	1971	Clist Walk	
Close	18	1971		Investigate
Club Row	137	1876; 1878; 1886; 1893; 1894; 1897		
Clyffard Ccrescent	14	1890		
Clyffard Crescent	552	1893; 1894; 1897; 1898; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clyffard-crescent	11	1910		
Clyfford Crescent	9	1878	Clyfford Crescent	Did the name change?
Clytha Crescent	948	1876; 1878; 1890; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Clytha Park	97	1878; 1914; 1946		
Clytha Park Road	347	1876; 1878; 1897; 1905; 1927; 1933; 1936; 1938; 1950; 1971		
Clytha Square	827	1876; 1878; 1893; 1897; 1902; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clytha Terrace	57	1887; 1893; 1894		
Coldra Estate	53	1971	Coldra Estate	
Coldra Road	664	1897; 1898; 1902; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Coldra Street	360	1899		
Coleridge Road	299	1933; 1936; 1938; 1946; 1950; 1971		
Collier Street	191	1914; 1933; 1938; 1946; 1950; 1971		
Collingwood Close	54	1938; 1946; 1950; 1971		
Collingwood Road	121	1933; 1938; 1946; 1950; 1971		
Collingwood Street	20	1914		
Collins Close	17	1950; 1971		
Colne Street	205	1910; 1914; 1933; 1938; 1946; 1950; 1971		
Colston Avenue	140	1933; 1938; 1946; 1950; 1971		
Colston Place	16	1938; 1946; 1950; 1971		
Commassie Street	21	1894		
Commercial	15	1971		
Commercial Buildings	4	1876; 1933		
Commercial Road	2570	1876; 1878; 1893; 1894; 1897; 1898; 1905; 1910; 1914; 1927; 1933; 1938; 1946; 1950; 1971		
Commercial Road (contd.)	42	1878		
Commercial Street	2815	1876; 1878; 1887; 1893; 1894; 1897; 1899; 1902; 1905; 1914; 1927; 1933; 1938; 1946; 1950; 1971		
Commercial Street Post	50	1902		
Commercial Wharf	127	1876; 1886; 1897; 1905; 1914; 1933; 1938; 1946		
Commercial-Street	63	1910		
Compton Terrace	9	1933		
Congregational Church	84	1910; 1927	Congregational Church	Investigate
Consta	37	1971		Investigate
Constable's Lane	22	1898; 1899; 1902		
Constables Lane	23	1905; 1914; 1933; 1938; 1946; 1950		Investigate
Constables' Lane	7	1971		
Constance Street	637	1893; 1894; 1897; 1898; 1899; 1902; 1905; 1914; 1933; 1938; 1946; 1950; 1971		
Conway Croft	58	1933; 1938; 1946; 1950; 1971		
Conway Road	1023	1914; 1927; 1933; 1938; 1946; 1950; 1971		
Conway Sac	205	1933; 1936; 1938; 1946; 1950; 1971		
Conway Street	64	1902; 1903		
Coomassia Street	1	1878		
