Street Name,Record Count,Years,Amendment,Notes
Brickyard Road,55,1905; 1914; 1933; 1938; 1946; 1950,,
BRICKYARD ROAD,20,1927; 1936,Brickyard Road,Auto-casing match
Bridge (The),3,1876,,
Bridge Street,753,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BRIDGE STREET,251,1878; 1927; 1936,Bridge Street,Auto-casing match
Bristol Street,585,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BRISTOL STREET,75,1936,Bristol Street,Auto-casing match
Britannia Buildings,2,1886; 1933,,
Broad Street,75,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BROAD STREET,16,1878; 1936,Broad Street,Auto-casing match
BROAD STREET. E 4,12,1927,,
Broseley Terrace,1,1886,,
Brown's Buildings,10,1933,,
BROWN’S BUILDINGS—,56,1927,,
Brunel Street,87,1914; 1933; 1938; 1946; 1950,,
BRUNEL STREET,17,1936,Brunel Street,Auto-casing match
BRUNEL STREET. B 4 36,20,1927,,
Brunswick Place,1,1946,,
BRYINGLAS AVENUE. B 4,15,1927,,
BRYINGLAS CRESCENT,16,1927,,
BRYINGLAS ROAD,37,1927,,
Brynderwen Grove,26,1938; 1946; 1950,,
Brynderwen Road,204,1905; 1914; 1933; 1938; 1946; 1950,,
BRYNDERWEN ROAD,35,1936,Brynderwen Road,Auto-casing match
BRYNDERWEN ROAD. C 3,38,1927,,
Brynderwyn Road,12,1897,,
Brynglas Avenue,220,1933; 1938; 1946; 1950,,
BRYNGLAS AVENUE,37,1936,Brynglas Avenue,Auto-casing match
Brynglas Crescent,84,1914; 1933; 1938; 1946; 1950,,
BRYNGLAS CRESCENT,18,1936,Brynglas Crescent,Auto-casing match
Brynglas Orescent,9,1905,,
Brynglas Road,689,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BRYNGLAS ROAD,145,1936,Brynglas Road,Auto-casing match
Bryngwyn Road,435,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BRYNGWYN ROAD,82,1927; 1936,Bryngwyn Road,Auto-casing match
BRYNHFRYD AVENUE,28,1927,,
BRYNHFRYD ROAD,6,1927,,
Brynhyfryd Avenue,113,1933; 1938; 1946; 1950,,
BRYNHYFRYD AVENUE,28,1936,Brynhyfryd Avenue,Auto-casing match
Brynhyfryd Road,144,1905; 1914; 1933; 1938; 1946; 1950,,
BRYNHYFRYD ROAD,30,1936,Brynhyfryd Road,Auto-casing match
Buckingham Crescent,42,1933; 1938; 1946; 1950,,
BUCKINGHAM CRESCENT,38,1927; 1936,Buckingham Crescent,Auto-casing match
Buckingham Place,29,1933; 1938; 1946; 1950,,
