Street Name	Record Count	Years	Amendment	Notes
Brynhyfryd Road	270	1902; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Buchan Close	35	1971	Buchan Close	
Buckingham Crescent	110	1927; 1933; 1936; 1938; 1946; 1950; 1971		
Buckingham Place	61	1933; 1936; 1938; 1946; 1950; 1971		
Bungalows	36	1927; 1933		
Burleigh Road	53	1903; 1971	Burleigh Road	
Burnford Road	26	1950		
Burnfort Road	86	1936; 1938; 1946; 1971		
Burnicle Studios	87	1971		Investigate
Burns Close	11	1950		
Burton Homes	2	1971	Burton Homes	
Burton Road	83	1946; 1950; 1971		
Byrde Close	9	1950		
Caddock Street	1	1946		
Cae Brynton Road	272	1933; 1936; 1938; 1946; 1950; 1971		
Cae Perllan Road	387	1936; 1938; 1946; 1950; 1971		
Cae Perllanm Road	1	1950		
Caerau	11	1876		
Caerau Crescent	596	1887; 1890; 1893; 1894; 1897; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Caerau Park	8	1878; 1886		
Caerau Road	1438	1878; 1886; 1893; 1894; 1897; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Caerleion Road	14	1899		
Caerleon Chambers	3522	1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950		
Caerleon Road	1340	1878; 1893; 1894; 1898; 1899; 1902; 1903; 1927; 1936	Caerleon Road	
Caldicot Street	167	1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Call Office	48	1927		Investigate
Calne Place	524	1887; 1890; 1893; 1894; 1898; 1899; 1903; 1933		
Cambria	34	1890		
Cambria cottages	30	1886; 1933		
Cambria Place	142	1887; 1898; 1899; 1902; 1903; 1905; 1927; 1933; 1936		
Cambria Road	17	1898; 1899		
Cambrian Road	335	1897; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Cambridge Avenue	28	1902; 1903; 1905		
Cambridge Road	87	1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Camelot Place	102	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Camperdown Road	69	1936; 1938; 1946; 1950; 1971		
Camperdown Street	11	1899; 1936		
Canal Bank	25	1933; 1936; 1971		
Canal Bank Cottages	18	1938; 1946; 1950		
Canal Bank Cotts	29	1971		
Canal Parade	725	1876; 1878; 1893; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Canal Street	309	1878; 1886; 1893; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Canal Terrace	283	1876; 1878; 1893; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Canberra Crescent	26	1971	Canberra Crescent	
Canning Street	146	1903		
Cannon Street	30	1878		
Canon Street	313	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Capel Crescent	938	1897; 1902; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Capel Street	735	1876; 1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Capet Street	149	1971		
Cardiff Road	2403	1876; 1878; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Cardigan Place	73	1933; 1936; 1938; 1946; 1950; 1971		
Carey Road	30	1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Carisbrook Street	1	1903		
Carisbrooke Road	267	1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Carlisle Place	786	1876; 1886; 1887; 1890; 1893; 1894; 1898; 1899; 1902; 1903; 1905; 1927; 1933; 1936; 1938; 1946		
Carlisle Road	36	1971	Carlisle Road	
Carlisle Street	251	1886; 1894; 1897; 1898; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Carlton Chambers	3	1905; 1938; 1946		
Carlton Road	188	1933; 1936; 1938; 1946; 1950		
Carngethin Wharf	1	1933		
Caroline Street	484	1878; 1886; 1893; 1894; 1898; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Carpenter's A. Lane	2	1893; 1894		
Carpenter's Arms Lane	2	1886		
Carpenters' A. Lane	18	1898; 1903		
Carpenters' Arms	2	1971		
Carpenters' Arms Lane	1	1936		
Cartwright Green	14	1950		
Cartwright Grn	42	1971		
Carysfort Street	1	1946		
Castle Chambers	1	1933		
Castle Park Road	17	1971	Castle Park Road	
Castle Precincts	61	1876; 1878; 1886; 1893; 1894; 1897; 1898; 1905; 1914; 1933		
Castle Street	403	1876; 1878; 1893; 1894; 1897; 1898; 1902; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
Caston Place	6	1902		
Catalpa Close	18	1971	Catalpa Close	
Catsach Road	9	1971		
Cattle Market	364	1890; 1893; 1894; 1899; 1902		
Caxton Place	120	1876; 1878; 1893; 1894; 1897; 1898; 1899; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Caxton Street	47	1878	Caxton Street	
Cecil Sharp Road	23	1971	Cecil Sharp Road	
